model_name	ModelCard	Identifier	Context Length
Google: Gemini 2.0 Flash Experimental (free)	https://openrouter.ai/google/gemini-2.0-flash-exp:free	google/gemini-2.0-flash-exp:free	1,048,576
Qwen: Qwen3 Coder 480B A35B (free)	https://openrouter.ai/qwen/qwen3-coder:free	qwen/qwen3-coder:free	262,144
DeepSeek: DeepSeek V3.1 (free)	https://openrouter.ai/deepseek/deepseek-chat-v3.1:free	deepseek/deepseek-chat-v3.1:free	163,800
TNG: DeepSeek R1T2 Chimera (free)	https://openrouter.ai/tngtech/deepseek-r1t2-chimera:free	tngtech/deepseek-r1t2-chimera:free	163,840
DeepSeek: R1 0528 (free)	https://openrouter.ai/deepseek/deepseek-r1-0528:free	deepseek/deepseek-r1-0528:free	163,840
DeepSeek: DeepSeek V3 0324 (free)	https://openrouter.ai/deepseek/deepseek-chat-v3-0324:free	deepseek/deepseek-chat-v3-0324:free	163,840
TNG: DeepSeek R1T Chimera (free)	https://openrouter.ai/tngtech/deepseek-r1t-chimera:free	tngtech/deepseek-r1t-chimera:free	163,840
DeepSeek: R1 (free)	https://openrouter.ai/deepseek/deepseek-r1:free	deepseek/deepseek-r1:free	163,840
Microsoft: MAI DS R1 (free)	https://openrouter.ai/microsoft/mai-ds-r1:free	microsoft/mai-ds-r1:free	163,840
Z.AI: GLM 4.5 Air (free)	https://openrouter.ai/z-ai/glm-4.5-air:free	z-ai/glm-4.5-air:free	131,072
Qwen: Qwen3 235B A22B (free)	https://openrouter.ai/qwen/qwen3-235b-a22b:free	qwen/qwen3-235b-a22b:free	131,072
Mistral: Mistral Small 3.2 24B (free)	https://openrouter.ai/mistralai/mistral-small-3.2-24b-instruct:free	mistralai/mistral-small-3.2-24b-instruct:free	131,072
Qwen: Qwen2.5 VL 72B Instruct (free)	https://openrouter.ai/qwen/qwen2.5-vl-72b-instruct:free	qwen/qwen2.5-vl-72b-instruct:free	131,072
OpenAI: gpt-oss-20b (free)	https://openrouter.ai/openai/gpt-oss-20b:free	openai/gpt-oss-20b:free	131,072
DeepSeek: Deepseek R1 0528 Qwen3 8B (free)	https://openrouter.ai/deepseek/deepseek-r1-0528-qwen3-8b:free	deepseek/deepseek-r1-0528-qwen3-8b:free	131,072
Mistral: Mistral Nemo (free)	https://openrouter.ai/mistralai/mistral-nemo:free	mistralai/mistral-nemo:free	131,072
Meituan: LongCat Flash Chat (free)	https://openrouter.ai/meituan/longcat-flash-chat:free	meituan/longcat-flash-chat:free	131,072
MoonshotAI: Kimi Dev 72B (free)	https://openrouter.ai/moonshotai/kimi-dev-72b:free	moonshotai/kimi-dev-72b:free	131,072
Tongyi DeepResearch 30B A3B (free)	https://openrouter.ai/alibaba/tongyi-deepresearch-30b-a3b:free	alibaba/tongyi-deepresearch-30b-a3b:free	131,072
Nous: DeepHermes 3 Llama 3 8B Preview (free)	https://openrouter.ai/nousresearch/deephermes-3-llama-3-8b-preview:free	nousresearch/deephermes-3-llama-3-8b-preview:free	131,072
MoonshotAI: Kimi VL A3B Thinking (free)	https://openrouter.ai/moonshotai/kimi-vl-a3b-thinking:free	moonshotai/kimi-vl-a3b-thinking:free	131,072
Meta: Llama 3.2 3B Instruct (free)	https://openrouter.ai/meta-llama/llama-3.2-3b-instruct:free	meta-llama/llama-3.2-3b-instruct:free	131,072
NVIDIA: Nemotron Nano 9B V2 (free)	https://openrouter.ai/nvidia/nemotron-nano-9b-v2:free	nvidia/nemotron-nano-9b-v2:free	128,000
Mistral: Mistral Small 3.1 24B (free)	https://openrouter.ai/mistralai/mistral-small-3.1-24b-instruct:free	mistralai/mistral-small-3.1-24b-instruct:free	128,000
